title,channel,url,channelUrl,topic/category
VALORANT Abyss Map Guide: Dominate Ranked with Pro Tips (VCT Coach Knowledge),SC Valorant Guides,https://www.youtube.com/watch?v=nk8yrbKYhk0,https://www.youtube.com/@skillcappedvalorant,
COMPLETE Abyss Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=pC60Z9HAqlw,https://www.youtube.com/@Slayerkey,
COMPLETE Ascent Entry & Defense Angle Guide [2024],Slayerkey,https://www.youtube.com/watch?v=IBG1WQ4maBA,https://www.youtube.com/@Slayerkey,
I Watched 100 Ascent Games So You Don’t Have To,p1ops,https://www.youtube.com/watch?v=u08SxJtG3p0,https://www.youtube.com/@p1ops264,
BIND GUIDE.,Woohoojin,https://www.youtube.com/watch?v=9TyolMdIjsg,https://www.youtube.com/@Woohoojin,
The most important trick to Winning on Bind,Woohoojin,https://www.youtube.com/watch?v=7rf5oBmWr4M,https://www.youtube.com/@Woohoojin,
"Bind Premier Guide, From a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=HAqpUl3lydQ,https://www.youtube.com/@FellowshipEsports,
How to Dominate on the New Breeze,signed,https://www.youtube.com/watch?v=-l2s_JNRIiI,https://www.youtube.com/@signedvalorant,
What Pros Already Know About the New Breeze,Airen,https://www.youtube.com/watch?v=HEpqZQpclJ4,https://www.youtube.com/@AirenYT,
Ranking Every Agent on NEW Breeze in VALORANT,Kanga,https://www.youtube.com/watch?v=ngDgL_40aP8,https://www.youtube.com/@KangaValorant,
Radiant CORRODE Guide For Valorant Ranked,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=7A6J_FbIjbE,https://www.youtube.com/@Charla7an,
How to Play CORRODE Like the Pros | COMPLETE Guide,randomnoobtv,https://www.youtube.com/watch?v=a1oOROWQrtA,https://www.youtube.com/@randomnoobtv,
COMPLETE Corrode Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=a2sfBF0HA3A,https://www.youtube.com/@Slayerkey,
The SECRETS to Winning Attack Rounds on CORRODE!,Valorant Kitchen,https://www.youtube.com/watch?v=7fS62T5aGYE,https://www.youtube.com/@ValorantKitchen,
"Fracture Sucks, Here's a Complete Map Guide [2026]",Slayerkey,https://www.youtube.com/watch?v=Re2kFs0DA3o,https://www.youtube.com/@Slayerkey,
