title,channel,url,sourceKind,topicType,entities,startSeconds
This TEJO GUIDE Will Make You a SoloQ Monster in VALORANT!,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=_DAxdH_Tvw4,owner-curated-research-video,Agent,Tejo,335
How to ACTUALLY play Lotus like a PRO,Valorant Kitchen,https://www.youtube.com/watch?v=_fBw3ZyC3Fw,owner-curated-research-video,Map Knowledge,Lotus,0
doombringer collection video,Dittozkul,https://www.youtube.com/watch?v=_NmzHBD0BEk,skin-collection-video,,doombringer,0
The ULTIMATE VYSE Guide for VALORANT!,Rem,https://www.youtube.com/watch?v=_WwXFX3ivXc,owner-curated-research-video,Agent,Vyse,0
ora by onetap collection video,Dittozkul,https://www.youtube.com/watch?v=_xF2dKFJkM0,skin-collection-video,,ora-by-onetap,0
How To Play TEJO On Every Map,Berate,https://www.youtube.com/watch?v=-Kdi2J_kIVs,owner-curated-research-video,Agent,Tejo,0
How to Dominate on the New Breeze,signed,https://www.youtube.com/watch?v=-l2s_JNRIiI,owner-curated-research-video,Map Knowledge,Breeze,0
blastx collection video,VALORANT,https://www.youtube.com/watch?v=-M07PLBAHtA,skin-collection-video,,blastx,0
Why You Suck at Playing Initiator (And How to Fix It),Konpeki,https://www.youtube.com/watch?v=-qgS0MAzLJE,owner-curated-research-video,Role,Initiator,151
How to Carry on Phoenix,Maxie,https://www.youtube.com/watch?v=-vgR_Nqfbgs,owner-curated-research-video,Agent,Phoenix,0
Why You Can't get Kills as Jett,Woohoojin,https://www.youtube.com/watch?v=0EDe79bzgr8,owner-curated-research-video,Agent,Jett,0
Embedded map strategy research video,Registered Library source,https://www.youtube.com/watch?v=0VLyBGR5sNA,map-strategy-video,Map Knowledge,,0
The ONLY Guide You Need to MASTER OMEN,Konpeki,https://www.youtube.com/watch?v=136LPiJPYY0,owner-curated-research-video,Agent,Omen,26
valiant hero collection video,VALORANT,https://www.youtube.com/watch?v=250eQlJ8mTU,skin-collection-video,,valiant-hero,0
HOW TO PLAY GEKKO LIKE A VCT PLAYER!,Team Vitality VALORANT,https://www.youtube.com/watch?v=2oZ0mP2-nAU,owner-curated-research-video,Agent,Gekko,0
champions 2023 collection video,VALORANT,https://www.youtube.com/watch?v=365svb1KnyA,skin-collection-video,,champions-2023,0
The ULTIMATE Phoenix Guide for VALORANT 2025 - Rank Up FAST with New Tech!,xtr,https://www.youtube.com/watch?v=439vfL_WeXo,owner-curated-research-video,Agent,Phoenix,0
Radiant Iso Guide (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=441tMwoFSeE,owner-curated-research-video,Agent,Iso,0
The Last Killjoy Guide You’ll Ever Need | ALL MAPS — TIMESTAMPED,Keeoh,https://www.youtube.com/watch?v=4ltUDIdDRMQ,owner-curated-research-video,Agent,Killjoy,0
"Split Premier Guide, from a Pro Coach | 2025 Meta",Fellowship Esports,https://www.youtube.com/watch?v=4Rw8nKowEEU,owner-curated-research-video,Map Knowledge,Split,0
elderflame collection video,VALORANT,https://www.youtube.com/watch?v=5oslaJjYdzs,skin-collection-video,,elderflame,0
xerofang collection video,VALORANT,https://www.youtube.com/watch?v=5SJIek3cmm8,skin-collection-video,,xerofang,0
BEST Fade Lineups ALL MAPS 2026 Guide Valorant! 📍,Frost LIVE,https://www.youtube.com/watch?v=5yqNa4HIq5Q,owner-curated-research-video,Agent,Fade,0
6 things I learned hitting TOP 100 as controller ONLY,Dopai,https://www.youtube.com/watch?v=6B1Uy4_Jvlk,owner-curated-research-video,Role,Controller,0
Advanced Omen Teleport Guide (All Maps) *2026*,Berate,https://www.youtube.com/watch?v=6iClB_z2iAY,owner-curated-research-video,Agent,Omen,0
primordium collection video,VALORANT,https://www.youtube.com/watch?v=6SPuDeBwTpU,skin-collection-video,,primordium,0
"Fracture Premier Guide, From a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=6XupFaHh_UY,owner-curated-research-video,Map Knowledge,Fracture,0
Radiant CORRODE Guide For Valorant Ranked,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=7A6J_FbIjbE,owner-curated-research-video,Map Knowledge,Corrode,483
The SECRETS to Winning Attack Rounds on CORRODE!,Valorant Kitchen,https://www.youtube.com/watch?v=7fS62T5aGYE,owner-curated-research-video,Map Knowledge,Corrode,0
The ONLY Astra Guide You'll EVER Need! (2025),SC Valorant Guides,https://www.youtube.com/watch?v=7iK8xg42LZY,owner-curated-research-video,Agent,Astra,0
The ONLY Gekko Guide You'll EVER Need!,SC Valorant Guides,https://www.youtube.com/watch?v=7njFHZ7iP2Q,owner-curated-research-video,Agent,Gekko,0
The most important trick to Winning on Bind,Woohoojin,https://www.youtube.com/watch?v=7rf5oBmWr4M,owner-curated-research-video,Map Knowledge,Bind,0
FUNDAMENTAL Reyna TIPS That Make You IMMORTAL (Valorant),Duckeeh,https://www.youtube.com/watch?v=7XP0vA66fUk,owner-curated-research-video,Agent,Reyna,0
ion collection video,VALORANT,https://www.youtube.com/watch?v=7zpPkcKWPVE,skin-collection-video,,ion,0
How to DOMINATE on RAZE!! (Complete RADIANT Guide),ikah,https://www.youtube.com/watch?v=8FWNZxjV5PQ,owner-curated-research-video,Agent,Raze,0
COMPLETE Pearl Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=8mP-JdUz5Us,owner-curated-research-video,Map Knowledge,Pearl,0
HOW TO RANKED: FADE,toast1ez,https://www.youtube.com/watch?v=8vbwCEe8tFg,owner-curated-research-video,Agent,Fade,0
cyrax collection video,VALORANT,https://www.youtube.com/watch?v=97eAYyVHsUE,skin-collection-video,,cyrax,0
ULTIMATE RADIANT YORU GUIDE 3000+ hours experience- Basic and Advanced Techniques,LotharHS VALORANT Laboratory,https://www.youtube.com/watch?v=9M2sNJ1AANs,owner-curated-research-video,Agent,Yoru,13
The Only *UPDATED* Breach Guide You'll EVER NEED! (2023),"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=9NqcyEi-stQ,owner-curated-research-video,Agent,Breach,0
The Problem with KAY/O that NOBODY is Talking About,LrohVCT,https://www.youtube.com/watch?v=9rQnpB1HxWA,owner-curated-research-video,Agent,KAY/O,0
BIND GUIDE.,Woohoojin,https://www.youtube.com/watch?v=9TyolMdIjsg,owner-curated-research-video,Map Knowledge,Bind,0
How to Play Jett (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=9Yg-HaZdmxU,owner-curated-research-video,Agent,Jett,24
How to Play *SUMMIT* in Valorant Ranked! (Radiant Map Guide),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=9ZKAxsxvJRs,owner-curated-research-video,Map Knowledge,Summit,0
The ONLY Guide You Need To MASTER REYNA,Konpeki,https://www.youtube.com/watch?v=A_SuPBvsvy0,owner-curated-research-video,Agent,Reyna,0
HARBOR IS THE *NEW* PRO META !!! | TenZ,TenZ,https://www.youtube.com/watch?v=a0Vg6F9c9lw,owner-curated-research-video,Agent,Harbor,0
How to Play CORRODE Like the Pros | COMPLETE Guide,randomnoobtv,https://www.youtube.com/watch?v=a1oOROWQrtA,owner-curated-research-video,Map Knowledge,Corrode,471
COMPLETE Corrode Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=a2sfBF0HA3A,owner-curated-research-video,Map Knowledge,Corrode,15
Riot FINALLY Made Harbor META… He's BROKEN,Teets,https://www.youtube.com/watch?v=AcVGB_u-O-8,owner-curated-research-video,Agent,Harbor,0
The ONLY Miks Guide You’ll Ever Need (ft. Boaster),FNATIC Valorant,https://www.youtube.com/watch?v=AKyp8hmoK_w,owner-curated-research-video,Agent,Miks,0
32 Insane Vyse Mechanics,MrLowlander,https://www.youtube.com/watch?v=AS4M2tCXrLY,owner-curated-research-video,Agent,Vyse,0
KAY/O Basics: What Every New Player Should Know,todo,https://www.youtube.com/watch?v=AseqYI-7rpI,owner-curated-research-video,Agent,KAY/O,0
blackspyre collection video,VALORANT,https://www.youtube.com/watch?v=aSFtc5Y-ORQ,skin-collection-video,,blackspyre,0
rogue collection video,VALORANT,https://www.youtube.com/watch?v=b1u1kUdDOys,skin-collection-video,,rogue,0
How to Play Raze Like Zekken,Konpeki,https://www.youtube.com/watch?v=bATyRKYQbP4,owner-curated-research-video,Agent,Raze,0
mystbloom collection video,Dittozkul,https://www.youtube.com/watch?v=BHgpsmBZkMk,skin-collection-video,,mystbloom,0
How to be useful on KJ,Maxie,https://www.youtube.com/watch?v=bIK68DC5ovg,owner-curated-research-video,Agent,Killjoy,0
The Ultimate Beginners Guide for Cypher (Valorant 2024),Dylan B Gamin,https://www.youtube.com/watch?v=bIR_TVV5yJI,owner-curated-research-video,Agent,Cypher,0
champions 2025 collection video,VALORANT,https://www.youtube.com/watch?v=bKpcAOVyX3g,skin-collection-video,,champions-2025,0
How to Exploit Lotus like a Pro,Sentinels,https://www.youtube.com/watch?v=BpAvTmBkDC4,owner-curated-research-video,Map Knowledge,Lotus,303
How to Entry with Neon,nxrth,https://www.youtube.com/watch?v=BrCgVl_WdUs,owner-curated-research-video,Agent,Neon,0
What OMEN Mains Don't Tell YOU: Tips & Tricks,DBW,https://www.youtube.com/watch?v=c_5Jy4fykoQ,owner-curated-research-video,Agent,Omen,0
HOW TO: MIKS,toast1ez,https://www.youtube.com/watch?v=CImuyLEP5pM,owner-curated-research-video,Agent,Miks,0
